"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"66";"+";"+";"+";"<E>";"-";"atterrer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Que Max soit parti atterre Ida"
"67";"~";"~";"~";"<E>";"-";"attiédir";"-";"+";"-";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"Que Marie parte attiédit la tendresse de Max"
"68";"+";"+";"+";"<E>";"-";"attirer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Se présenter aux élections attire Max"
"69";"-";"+";"+";"<E>";"-";"attraper";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Luc se soit déguisé a bien attrapé Max"
"70";"+";"+";"+";"<E>";"-";"attrister";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"Que Max soit parti attriste Luc"
"71";"-";"+";"+";"<E>";"-";"avachir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'il ne fasse plus rien avachit Luc"
"72";"+";"+";"+";"<E>";"-";"aveugler";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'on l'ait insulté aveugle Max"
"73";"-";"+";"+";"<E>";"-";"aveulir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Les mauvais traitements ont aveuli Max"
"74";"+";"+";"+";"<E>";"-";"avilir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max ait cédé a avili Max"
"75";"~";"~";"~";"<E>";"~";"avoir fourbu";"~";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Qu'il ait tant marché a fourbu Max";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76";"+";"+";"+";"<E>";"-";"azimuter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Qu'Ida l'ait quitté a azimuté Max"
"77";"+";"+";"+";"<E>";"-";"bafouer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max dise cela a bafoué Luc"
"78";"+";"+";"+";"<E>";"-";"bâillonner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'on ait pris ces mesures bâillonne la presse"
"79";"~";"~";"~";"<E>";"-";"baiser";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Ce spectacle m'a baisé "
"80";"+";"+";"+";"<E>";"-";"barber";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max vienne barbe Luc"
"81";"~";"~";"~";"<E>";"-";"barbifier";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Cet exposé barbifie Luc"
"82";"+";"+";"+";"<E>";"-";"bassiner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"que Max parle autant bassine ida"
"83";"+";"+";"+";"<E>";"-";"berner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max se soit enfui a berné Max"
"84";"+";"+";"+";"<E>";"-";"blesser";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"Que Luc soit parti a blessé Ida"
"85";"+";"+";"+";"<E>";"-";"blinder";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"Que Max soit parti a blindé Ida contre les déconvenues"
"86";"+";"+";"+";"<E>";"-";"bloquer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max soit parti a bloqué Luc"
"87";"~";"~";"~";"<E>";"-";"bluffer";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Que Paul ait pu faire ça a bluffé Luc"
"88";"+";"+";"+";"<E>";"-";"bonifier";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max la voie souvent bonifie Ida"
"89";"+";"+";"+";"<E>";"-";"botter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Luc vienne botte Max"
"90";"+";"+";"+";"<E>";"-";"bouleverser";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Que Max soit parti bouleverse Luc"
"91";"+";"+";"+";"<E>";"-";"bousculer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"que Max soit venu a bousculé Ida"
