"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"77";"-";"<E>";"reconduire";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"On a reconduit Max(directeur+à la direction)"
"78";"~";"<E>";"reconnaître";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max reconnaît Paul(E+comme)son héritier"
"79";"+";"<E>";"rémunérer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"Cette entreprise rémunère Max 2000 F par mois"
"80";"-";"<E>";"rendre";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"Ses diplômes rendent Max un candidat valable"
"81";"~";"<E>";"réputer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On répute ce médecin excellent"
"82";"-";"<E>";"rétribuer";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"On rétribue Max(1000 F+cher+un bon prix)"
"83";"-";"<E>";"sacrer";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"On a sacré Ida reine de Gap"
"84";"~";"<E>";"signer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a signé ce tableau Miro"
"85";"-";"<E>";"surnommer";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"surnom";"On a surnommé Bob 'le gin'"
"86";"~";"<E>";"tenir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On tient les enfants tranquilles"
"87";"~";"<E>";"terminer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a terminé sa carrière(E+comme colonel)"
"88";"-";"<E>";"titrer";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"titre";"Le jury a titré Max meilleur acteur de l'année"
"89";"-";"<E>";"titulariser";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"On a titularisé Max balayeur"
"90";"-";"<E>";"voir";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"Ida voit son fils curé"

