"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"447";"+";"-";"-";"-";"<E>";"-";"-";"savourer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max savoure que Luc ait été vaincu"
"448";"+";"+";"+";"-";"<E>";"-";"-";"sceller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Cette poignée de main scelle que Max et Luc sont d'accord"
"449";"+";"-";"-";"-";"<E>";"-";"-";"scruter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max scrute si Ida arrive ou non"
"450";"+";"+";"+";"-";"<E>";"-";"-";"secréter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"La situation sécrète (que Luc est mécontent+des problèmes)"
"451";"+";"+";"+";"+";"<E>";"-";"-";"sélectionner";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a sélectionné si ce blé était bon ou non"
"452";"+";"-";"-";"-";"<E>";"-";"-";"sentir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max a senti que Léa avait raison"
"453";"+";"-";"-";"-";"<E>";"-";"-";"signer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a signé (que cette loi était inique+sa démission)"
"454";"+";"+";"+";"-";"<E>";"-";"-";"simuler";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max simule qu'il est malade"
"455";"+";"-";"-";"-";"<E>";"-";"-";"sonder";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max sonde si Ida viendra ou non"
"456";"~";"~";"~";"~";"<E>";"-";"-";"songer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max songe que la situation a évolué"
"457";"+";"+";"+";"-";"<E>";"-";"-";"souffrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max ne souffre pas qu'on le contredise"
"458";"+";"-";"-";"-";"<E>";"-";"-";"souhaiter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Je souhaite que Léa chante"
"459";"~";"~";"~";"~";"<E>";"-";"-";"soupçonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max soupçonne qu'il va pleuvoir"
"460";"+";"-";"-";"-";"<E>";"-";"-";"soupeser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max soupèse si cela est utile ou non"
"461";"+";"+";"+";"-";"<E>";"-";"-";"sous-estimer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Le chef a sous-estimé quelle était l'importance de ce bastion"
"462";"+";"+";"+";"-";"<E>";"-";"-";"sous-évaluer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Le chef a sous-évalué (E+quelle est)l'importance de ce bastion"
"463";"~";"~";"~";"~";"<E>";"-";"-";"sous-tendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette idée sous-tend sa théorie"
"464";"+";"-";"-";"-";"<E>";"-";"-";"sous-titrer";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"Le journal a sous-titré que Jimmy était malade"
"465";"+";"-";"-";"-";"<E>";"-";"-";"spéculer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Fred spécule que Dieu doit exister"
"466";"+";"-";"-";"-";"<E>";"-";"-";"statuer";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Le conseil a statué que les maisons seraient fermées"
"467";"+";"-";"-";"-";"<E>";"-";"-";"stenciler";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a stencilé que la guerre était déclarée"
"468";"+";"-";"-";"-";"<E>";"-";"-";"sténographier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a sténographié les débats"
"469";"+";"-";"-";"-";"<E>";"-";"-";"sténotyper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a sténotypé les débats"
"470";"~";"~";"~";"~";"<E>";"-";"-";"subir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max subit que les prix augmentent"
"471";"~";"~";"~";"~";"<E>";"-";"-";"sublimer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a sublimé ses pulsions"
"472";"~";"~";"~";"~";"<E>";"-";"-";"subodorer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max subodore (que Léa lui ment + une intrigue) "
"473";"+";"+";"+";"+";"<E>";"-";"-";"substancier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"La réussite de l'expérience a substantié qu'il avait trouvé ce principe"
"474";"+";"-";"-";"-";"<E>";"-";"-";"suivre";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a suivi que Luc voulait partir"
"475";"+";"-";"-";"-";"<E>";"-";"-";"superviser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max supervise si les travaux sont en bonne voie"
"476";"+";"-";"-";"-";"<E>";"-";"-";"supplier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max supplie que l'on vienne"
"477";"-";"+";"+";"-";"<E>";"-";"-";"supporter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Le fait que Marie soit venue supporte (qu'on le compare+d'être comparé)avec le retour de Léa"
"478";"+";"-";"-";"-";"<E>";"-";"-";"supporter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max supporte qu'on le traite méchamment"
"479";"+";"-";"-";"-";"<E>";"-";"-";"supposer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";" Supposons que le problème est résolu"
"480";"+";"-";"-";"-";"<E>";"-";"-";"supposer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max suppose que Léa est partie"
"481";"+";"-";"-";"-";"<E>";"-";"-";"supputer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max suppute si Léa viendra ou non"
"482";"+";"-";"-";"-";"<E>";"-";"-";"surenchérir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a surenchéri que tout était scandaleux"
"483";"~";"~";"~";"~";"<E>";"-";"-";"surestimer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a surestimé quelle était l'importance de ce bastion"
"484";"+";"+";"+";"-";"<E>";"-";"-";"surévaluer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max a surévalué quelle était l'importance de ce bastion"
"485";"+";"-";"-";"-";"<E>";"-";"-";"surmonter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a surmonté que Léa l'avait quitté"
"486";"+";"-";"-";"-";"<E>";"-";"-";"surprendre";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max a surpris dans la conversation que Léa comptait partir"
"487";"+";"-";"-";"-";"<E>";"-";"-";"surveiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"Max surveille que tout est en ordre"
"488";"+";"-";"-";"-";"<E>";"-";"-";"synthétiser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a synthétisé que les plantes avaient telle et telle propriété"
"489";"+";"+";"+";"-";"<E>";"-";"-";"tabler";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a tablé que Léa partirait"
"490";"+";"-";"-";"-";"<E>";"-";"-";"tacher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max tâche que tout soit en ordre"
"491";"+";"-";"-";"-";"<E>";"-";"-";"taper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a tapé que la réunion aurait lieu le dix Mai"
"492";"+";"-";"-";"-";"se";"+";"-";"taper";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max s'est tapé de sortir les poubelles"
"493";"+";"-";"-";"-";"<E>";"-";"-";"tâter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"Max tâte si la viande est tendre"
"494";"+";"+";"+";"+";"<E>";"-";"-";"tenir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max tient que Luc ne viendra pas"
"495";"+";"-";"-";"-";"<E>";"-";"-";"tester";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Max teste si le courant passe ou non"
"496";"~";"~";"~";"~";"<E>";"-";"-";"tolérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max tolère qu'on le contredise"
"497";"~";"~";"~";"~";"<E>";"-";"-";"tramer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a tramé de se présenter aux élections"
"498";"+";"+";"+";"-";"<E>";"-";"-";"trancher";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max tranchera si Ida viendra ou non"
"499";"+";"-";"-";"-";"<E>";"-";"-";"trouver";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max trouve que Luc est méchant"
"500";"+";"-";"-";"-";"<E>";"-";"-";"typographier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a typographié sur sa feuille que Léa était la plus belle"
"501";"+";"+";"+";"+";"<E>";"-";"-";"valider";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Ce document valide que Max est reçu"
"502";"~";"~";"~";"~";"<E>";"-";"-";"valoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Léa revienne vaut bien que Max travaille"
"503";"+";"-";"-";"-";"<E>";"-";"-";"verbaliser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Ida a verbalisé (son sentiment+qu'elle détestait Luc)"
"504";"+";"+";"+";"-";"<E>";"-";"-";"vérifier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max a vérifié que la porte était fermée"
"505";"~";"~";"~";"~";"<E>";"-";"-";"vérifier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les faits vérifient cette hypothèse"
"506";"+";"-";"-";"-";"<E>";"-";"-";"visualiser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max a visualisé comment les choses se passeront"
"507";"+";"-";"-";"-";"<E>";"-";"-";"voir";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"Max a vu que la porte était fermée"
"508";"+";"-";"-";"-";"<E>";"-";"-";"voir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"Max a vu le problème"
"509";"+";"-";"-";"-";"<E>";"-";"-";"voir Advm";"-";"+";"-";"-";"-";"-";"-";" -";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Max voit d'un bon oeil qu'on travaille"
"510";"+";"-";"-";"-";"ne";"-";"+";"voler pas";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max n'a pas volé sa claque"
"511";"+";"-";"-";"-";"<E>";"-";"-";"voter";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"le conseil a voté que l'on procéderait ainsi"
"512";"+";"-";"-";"-";"<E>";"-";"-";"vouloir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max veut que luc parte"
"513";"~";"~";"~";"~";"<E>";"-";"-";"vouloir bien";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max veut bien qu'Ida vienne"
"514";"+";"+";"+";"-";"<E>";"-";"-";"vulgariser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a vulgarisé la théorie que la terre tournait"
"515";"+";"-";"-";"-";"<E>";"-";"-";"xérographier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a xérographié que la guerre était déclarée"
"516";"+";"-";"-";"-";"<E>";"-";"-";"xéroxer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a xéroxé que la guerre était déclarée"
"517";"~";"~";"~";"~";"<E>";"-";"-";"zieuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max zieute si Ida est une ou pas"
"518";"~";"~";"~";"~";"<E>";"-";"-";"zyeuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max zyeute si Ida est une ou pas"

