"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"188";"+";"-";"-";"-";"-";"-";"<E>";"reproduire";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Jo a reproduit sur son journal que le train avait déraillé"
"189";"~";"~";"~";"~";"~";"~";"<E>";"requérir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"Le maire requiert du préfet que la police intervienne"
"190";"+";"-";"-";"-";"-";"-";"<E>";"ressasser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max ressasse dans sa tête que Léa l'a quitté"
"191";"~";"~";"~";"~";"~";"~";"<E>";"restituer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Ce roman restitue l'atmosphère de l'époque"
"192";"+";"-";"-";"-";"-";"-";"<E>";"retirer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a retiré de cette affaire qu'il serait nommé"
"193";"~";"~";"~";"~";"~";"~";"<E>";"retourner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Jules retourne dans sa tête que Zoé ne viendra plus"
"194";"~";"~";"~";"~";"~";"~";"<E>";"rétracter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a rétracté devant le tribunal qu'il ait dit ceci"
"195";"+";"-";"-";"-";"-";"-";"<E>";"retranscrire";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a retranscrit sur son carnet que tout était en ordre"
"196";"~";"~";"~";"~";"~";"~";"<E>";"risquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a risqué dans la conversation qu'on pourrait penser autrement"
"197";"+";"-";"-";"-";"-";"-";"<E>";"savoir";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"par";"+";"-";"-";"-";"-";"-";"-";"Max a su par Luc que Léa était arrivée"
"198";"+";"-";"-";"-";"-";"-";"<E>";"sculpter";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a sculpté sur la porte qu'il aimait Ida"
"199";"+";"+";"+";"+";"-";"+";"<E>";"semer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a semé dans son discours que Luc était bête et méchant"
"200";"-";"+";"+";"-";"+";"-";"<E>";"signifier";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Cette situation signifie pour Max que Léa s'en ira"
"201";"+";"+";"+";"-";"-";"-";"<E>";"simplifier";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"en";"-";"+";"-";"-";"-";"+";"-";"Utiliser des surgelés simplifie pour Max de faire à manger"
