"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"280";"+";"-";"-";"-";"-";"ne";"+";"pardonner";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"On n'a pas pardonné à Max qu'il ait réussi"
"281";"+";"-";"-";"-";"+";"<E>";"-";"peindre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"Max a peint à Luc que l'avenir sera rose"
"282";"+";"-";"-";"-";"-";"<E>";"-";"pépier";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"(Léo+le canari) pépie à Max qu'il a soif"
"283";"+";"+";"+";"-";"+";"<E>";"-";"permettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Ceci permet à Luc qu'il ait ce poste"
"284";"+";"-";"-";"~";"~";"<E>";"-";"permettre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La nuit ne permet pas de distinguer les contours"
"285";"+";"-";"-";"-";"-";"<E>";"-";"phraser";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max phrase à Ida qu'elle est la plus belle"
"286";"+";"-";"-";"-";"-";"<E>";"-";"piailler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida piaille à Luc qu'elle en a assez"
"287";"+";"-";"-";"-";"-";"<E>";"-";"pianoter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max pianote à Luc sur son télétype que la situation est tendue"
"288";"+";"-";"-";"-";"-";"<E>";"-";"piauler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida piaule à Luc qu'elle en a assez"
"289";"+";"-";"-";"-";"-";"<E>";"-";"placer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a(essayé de+réussi à) placer à Ida qu'elle était de trop"
"290";"+";"+";"+";"+";"+";"<E>";"-";"planquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a planqué à Ida qu'il avait bu"
"291";"+";"-";"-";"-";"-";"<E>";"-";"pleurer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max pleure (à+auprès de)Marie qu'il a été floué"
"292";"+";"-";"-";"-";"-";"<E>";"-";"pleurnicher";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max pleurniche à Léa qu'il n'a pas été reçu"
"293";"+";"-";"-";"-";"-";"<E>";"-";"pondre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Léa a pondu à Max que la vie est un enfer"
"294";"~";"~";"~";"~";"~";"<E>";"-";"postillonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max postillonne à Ida qu'il n'est pas content"
"295";"+";"-";"-";"-";"-";"<E>";"-";"prêcher";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max prêche à Ida qu'il faut être patient"
"296";"+";"+";"+";"-";"+";"<E>";"-";"préciser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a précisé à Luc qu'il faudrait travailler"
"297";"+";"+";"+";"-";"+";"<E>";"-";"préconiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max préconise à Ida qu'elle parte"
"298";"+";"+";"+";"-";"+";"<E>";"-";"prédire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Zoé a prédit à Max qu'il serait curé"
"299";"+";"+";"+";"-";"+";"<E>";"-";"prescrire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a prescrit à Luc qu'il devait tout mettre en ordre"
"300";"+";"-";"-";"-";"-";"<E>";"-";"présenter Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a présenté adroitement au conseil qu'il fallait prendre des mesures"
"301";"+";"-";"-";"-";"-";"<E>";"-";"prétendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a prétendu à Luc qu'il avait vu Bob"
"302";"+";"-";"-";"-";"-";"<E>";"-";"prêter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a prêté à Luc qu'il ait dit cela"
"303";"~";"~";"~";"~";"~";"<E>";"-";"prétexter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a prétexté qu'il était malade"
"304";"+";"-";"-";"-";"-";"<E>";"-";"proclamer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a proclamé à l'assemblée qu'il serait candidat"
"305";"+";"-";"-";"-";"-";"<E>";"-";"produire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Que Max soit parti produit à Luc qu'il soit gêné"
"306";"+";"-";"-";"-";"-";"<E>";"-";"professer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max professe à ses amis qu'ils doivent voter"
"307";"+";"+";"+";"-";"+";"<E>";"-";"prohiber";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Le chef a prohibé à ses adjoints(qu'ils fument+de fumer)"
"308";"+";"-";"-";"-";"-";"<E>";"-";"promettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Guy a promis à Luc que tout irait bien"
"309";"+";"-";"-";"-";"-";"<E>";"-";"prôner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Marie prône (auprès de+à)tous qu'ils soient modérés"
"310";"+";"-";"-";"-";"-";"<E>";"-";"prophétiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a prophétisé à Luc qu'il serait élu"
"311";"+";"-";"-";"-";"-";"<E>";"-";"proposer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a proposé à Luc qu'il vienne"
"312";"+";"+";"+";"-";"+";"<E>";"-";"prouver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a prouvé à Léa qu'il avait travaillé"
"313";"+";"-";"-";"-";"-";"<E>";"-";"psalmodier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max psalmodie aux fidèles que Dieu est tout"
"314";"+";"-";"-";"-";"-";"<E>";"-";"quémander";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max quémande à l'état qu'on lui accorde une pension"
"315";"+";"-";"-";"-";"-";"<E>";"-";"rabâcher";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max rabâche à Léa qu'elle doit travailler"
"316";"~";"~";"~";"~";"~";"<E>";"-";"raconter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a raconté à Léa qu'il était absent"
"317";"+";"-";"-";"-";"-";"<E>";"-";"raconter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max racontera à Luc s'il a gagné ou non"
"318";"+";"-";"-";"-";"-";"<E>";"-";"radiodiffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"L'état a radiodiffusé aux foules que tout était en ordre"
"319";"+";"-";"-";"-";"-";"<E>";"-";"radiotélégraphier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a radiotélégraphié à Luc que tout allait bien"
"320";"+";"-";"-";"-";"-";"<E>";"-";"radiotéléviser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"On a radiotélévisé à la foule que Luc était élu"
"321";"+";"-";"-";"-";"-";"<E>";"-";"radoter";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max radote à Luc qu'il a fait la queue"
"322";"~";"~";"~";"~";"~";"<E>";"-";"rajouter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a rajouté à Paul que la situation était grave"
"323";"~";"~";"~";"~";"~";"<E>";"-";"râler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max râle contre les abus"
"324";"+";"-";"-";"-";"-";"<E>";"-";"ramager";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida ramage à Luc qu'elle a faim"
"325";"~";"~";"~";"~";"~";"<E>";"-";"raper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Bob rape aux passants que la banlieue c'est galère"
"326";"+";"+";"+";"+";"+";"<E>";"-";"rappeler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a rappelé à Léa qu'elle devait balayer"
"327";"-";"+";"+";"-";"+";"<E>";"-";"rapporter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Qu'Ida parte m' a rapporté (que Léa revienne+des avantages)"
"328";"+";"-";"-";"-";"-";"<E>";"-";"rapporter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"J'ai rapporté aux autorités que tout était en ordre"
"329";"+";"-";"-";"-";"-";"<E>";"-";"rapporter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Jojo a rapporté à la maîtresse que Lulu avait fumé"
"330";"+";"+";"+";"-";"+";"<E>";"-";"récapituler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a récapitulé à Léa qu'il a fait la(lessive+vaisselle+etc..)"
"331";"+";"-";"-";"-";"-";"<E>";"-";"réciter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a récité à Léa que le pouvoir était au bout du fusil"
"332";"+";"-";"-";"-";"-";"<E>";"-";"réclamer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"Max a réclamé à Léa qu'elle fasse la vaisselle"
"333";"+";"-";"-";"-";"-";"<E>";"-";"recommander";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max a recommandé à Léa qu'elle arrive tôt"
"334";"~";"~";"~";"~";"~";"<E>";"-";"recracher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a recraché à Ida que Luc était venu"
"335";"~";"~";"~";"~";"~";"<E>";"-";"redire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max redit à Zoé les secrets qu'on lui confie"
"336";"+";"-";"-";"-";"-";"<E>";"-";"refiler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a refilé à Luc qu'il aurait à nettoyer la chambre"
"337";"+";"-";"-";"-";"-";"<E>";"-";"refuser";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"J'ai refusé à Max qu'il prenne ma voiture"
"338";"+";"-";"-";"-";"-";"<E>";"-";"réitérer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a réitéré à Luc qu'il devait travailler"
"339";"+";"-";"-";"-";"-";"<E>";"-";"relater";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a relaté à Luc comment la réunion s'est déroulée"
"340";"+";"+";"+";"+";"+";"<E>";"-";"remémorer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"(Max+ce film) remémore à Léa qu'elle doit fermer le gaz"
"341";"+";"-";"-";"-";"-";"<E>";"-";"remontrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a remontré à Ida qu'elle n'aurait pas dû faire cela"
"342";"+";"-";"-";"-";"-";"<E>";"-";"renchérir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Max a renchéri à Marie que c'était bien fait pour elle"
"343";"+";"-";"-";"-";"-";"<E>";"-";"renvoyer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max a renvoyé à Luc qu'il était en tort"
"344";"+";"-";"-";"-";"-";"<E>";"-";"répartir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"Max a réparti à Léa qu'elle ferait mieux de travailler"
"345";"+";"-";"-";"-";"-";"<E>";"-";"repasser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a repassé à Luc qu'il fasse cette corvée"
"346";"~";"~";"~";"~";"~";"<E>";"-";"répercuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a répercuté (la nouvelle + qu'il fallait partir) "
"347";"~";"~";"~";"~";"~";"<E>";"-";"répéter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max répète à Luc qu'il aille travailler"
"348";"+";"-";"-";"-";"-";"<E>";"-";"répéter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a répété (ce secret+l'information)que Luc n'est pas venu"
"349";"+";"-";"-";"-";"-";"<E>";"-";"répliquer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"Max a répliqué à Luc que tout allait bien"
"350";"+";"-";"-";"-";"-";"<E>";"-";"répondre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"Je vous réponds que ça ne se passera pas ainsi"
"351";"+";"-";"-";"-";"-";"<E>";"-";"représenter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a représenté à Léa qu'elle devrait travailler"
