"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"31";"-";"+";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  avance";"à";"le";"-";"  allumage";"§a§de l'avance à l'allumage "
"32";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"-";"  bague";"à";"le";"+";"  doigt";"§a§la bague au doigt "
"33";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"douze";"-";"-";"  balles";"dans";"la";"+";"  peau";"§a§douze balles dans la peau "
"34";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  bandeau";"sur";"les";"+";"  yeux";"§a§un bandeau sur les yeux "
"35";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"de la";"+";"-";"  barbe";"à";"le";"+";"  menton";"§a§de la barbe au menton "
"36";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"une";"-";"-";"  barre";"à";"le";"+";"  creux de l'estomac";"§a§une barre au creux de l'estomac "
"37";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"une";"-";"-";"  barre";"dans";"la";"+";"  tête";"§a§une barre dans la tête "
"38";"-";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"des";"-";"-";"  bâtons";"dans";"les";"-";"  roues";"§a§des bâtons dans les roues "
"39";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"du";"-";"-";"  baume";"à";"le";"+";"  coeur";"§a§du baume au coeur "
"40";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  beaucoup";"à";"<E>";"-";"  faire";"§a§beaucoup à fait "
"41";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"+";"-";"  bec";"dans";"la";"-";"  eau";"§a§le bec dans l'eau "
