"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"201";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"rouler";"Poss0";"yeux";"-";"-";"§faire§rouler ses yeux "
"202";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"de";"<E>";"<E>";"+";"-";"sauter";"le";"caisson";"-";"-";"§faire§de sauter le caisson "
"203";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"de";"<E>";"<E>";"+";"-";"sauter";"la";"cervelle";"-";"-";"§faire§de sauter la cervelle "
"204";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"sauter";"Det";"crêpe";"-";"-";"§faire§sauter un crêpe "
"205";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"sauter";"Det";"enfant";"-";"-";"§faire§sauter un enfant "
"206";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"sauter";"les";"scellés";"-";"-";"§faire§sauter les scellés "
"207";"-";"+";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"sentir";"<E>";"<E>";"-";"-";"§se faire§sentir "
"208";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"suer";"<E>";"<E>";"+";"-";"§faire§suer "
"209";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"suer";"le";"burnous";"-";"-";"§faire§suer le burnous "
"210";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"+";"-";"tenir";"<E>";"<E>";"-";"+";"§faire§à tenir "
