"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"867";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"sortie";"de";"le";"virage";"-";"+";"§être§à la sortie du virage "
"868";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"sortie";"de";"le";"virage";"-";"+";"§être§dans la sortie du virage "
"869";"+";"-";"-";"-";"-";"<E>";"être";"à";"une";"soutenance";"de";"<E>";"thèse";"-";"+";"§être§à une soutenance de thèse "
"870";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"sphère";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§dans une sphère de Dnum N-mesure-de-longueur de rayon "
"871";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"sphère";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"+";"§être§dans une sphère d'un rayon de Dnum N-mesure-de-longueur "
"872";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"sphère";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"+";"§être§dans une sphère de rayon Dnum N-mesure-de-longueur "
"873";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sud";"de";"le Dnum-ième";"parallèle";"-";"+";"§être§au sud du Dnum-ième parallèle "
"874";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"supplément";"de";"<E>";"prix";"-";"-";"§être§sans supplément de prix "
"875";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"surcapacité";"de";"<E>";"production";"-";"-";"§être§en surcapacité de production "
"876";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"surface";"de";"Dnum";"N-mesure-de-surface";"-";"+";"§être§dans une surface de Dnum N-mesure-de-surface "
"877";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"table";"de";"<E>";"négociations";"-";"+";"§être§à la table de négociations "
"878";"-";"+";"-";"-";"-";"<E>";"être";"sur";"la";"table";"de";"<E>";"négociations";"-";"-";"§être§sur la table de négociations "
"879";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"table";"de";"<E>";"opération";"-";"-";"§être§sur la table d'opération "
"880";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"table";"de";"<E>";"travail";"-";"-";"§être§à sa table de travail "
"881";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"tableau";"de";"<E>";"avancement";"-";"-";"§être§au tableau d'avancement "
"882";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"tableau";"de";"<E>";"honneur";"-";"-";"§être§au tableau d'honneur "
"883";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"temps";"de";"le";"avion";"-";"-";"§être§au temps de l'avion "
"884";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"temps";"de";"le";"N";"-";"-";"§être§au temps du N "
"885";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"tenue";"de";"<E>";"apparat";"-";"-";"§être§en tenue d'apparat "
"886";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"tenue";"de";"<E>";"bain";"-";"-";"§être§en tenue de bain "
