"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"73";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bas";"de";"la";"échelle sociale";"-";"-";"§être§au bas de l'échelle sociale "
"74";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"de";"la";"échelle sociale";"-";"-";"§être§en bas de l'échelle sociale "
"75";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"de";"la";"échelle sociale";"-";"-";"§être§en bas de l'échelle sociale "
"76";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"bas";"de";"une";"page";"-";"-";"§être§au bas d'une page "
"77";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"de";"<E>";"page";"-";"-";"§être§en bas de page "
"78";"-";"+";"+";"-";"-";"<E>";"être";"pour";"la";"beauté";"de";"la";"chose";"-";"-";"§être§pour la beauté de la chose "
"79";"-";"+";"+";"-";"-";"<E>";"être";"pour";"la";"beauté";"de";"le";"geste";"-";"-";"§être§pour la beauté du geste "
"80";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bénéfice";"de";"Dnum";"dollars";"-";"-";"§être§en bénéfice de Dnum dollars "
"81";"-";"+";"+";"-";"-";"<E>";"être";"sous";"<E>";"bénéfice";"de";"<E>";"inventaire";"-";"-";"§être§sous bénéfice d'inventaire "
"82";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bénéfice";"de";"Dnum";"N-monnaie";"-";"-";"§être§en bénéfice de Dnum N-monnaie "
"83";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"billets";"de";"Dnum";"dollars";"-";"-";"§être§en billets de Dnum dollars "
"84";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"billets";"de";"Dnum";"N-monnaie";"-";"-";"§être§en billets de Dnum N-monnaie "
"85";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"abîme";"-";"-";"§être§au bord de l'abîme "
"86";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"bord";"de";"le";"abîme";"-";"-";"§être§sur le bord de l'abîme "
"87";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"catastrophe";"-";"-";"§être§au bord de la catastrophe "
"88";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"crise";"-";"-";"§être§au bord de la crise "
"89";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"crise de nerfs";"-";"-";"§être§au bord de la crise de nerfs "
"90";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"crise nerveuse";"-";"-";"§être§au bord de la crise nerveuse "
"91";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"débandade";"-";"-";"§être§au bord de la débandade "
"92";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"dépression";"-";"-";"§être§au bord de la dépression "
"93";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"eau";"-";"+";"§être§au bord de l'eau "
"94";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"écroulement";"-";"-";"§être§au bord de l'écroulement "
"95";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"effondrement";"-";"-";"§être§au bord de l'effondrement "
"96";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"effondrement nerveux";"-";"-";"§être§au bord de l'effondrement nerveux "
"97";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"faillite";"-";"-";"§être§au bord de la faillite "
"98";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"gouffre";"-";"-";"§être§au bord du gouffre "
"99";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"guerre";"-";"-";"§être§au bord de la guerre "
"100";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"les";"larmes";"-";"-";"§être§au bord des larmes "
"101";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"mer";"-";"+";"§être§au bord de la mer "
"102";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"les";"pleurs";"-";"-";"§être§au bord des pleurs "
