"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"60";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"gabarit";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§de gabarit à "
"61";"+";"+";"+";"-";"-";"<E>";"être";"sans";"la";"garantie";"de";"+";"-";"+";"+";"+";"+";"-";"-";"-";"§être§sans la garantie de "
"62";"+";"+";"+";"-";"-";"<E>";"être";"sous";"la";"garantie";"de";"+";"-";"+";"+";"+";"+";"-";"-";"-";"§être§sous la garantie de "
"63";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"genre";"à";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§être§du genre à "
"64";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"hantise";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans l'hantise de "
"65";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"hâte";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en hâte de "
"66";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"homme";"à";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§homme à "
"67";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"humeur";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§d'humeur à "
"68";"+";"-";"-";"-";"+";"n'";"être";"de";"<E>";"humeur";"à";"+";"-";"+";"+";"-";"-";"-";"-";"-";"§n'est§d'humeur à "
"69";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"humeur";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en humeur de "
"70";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"ici";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§ici à "
"71";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"<E>";"ici";"pour";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§ici pour "
"72";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"idée";"de";"-";"+";"+";"+";"-";"+";"-";"-";"-";"§être§sur l'idée de "
"73";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"ignorance";"de";"+";"-";"-";"+";"-";"+";"-";"-";"-";"§être§dans l'ignorance de "
"74";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"ignorance";"de";"-";"+";"+";"-";"-";"+";"-";"-";"-";"§être§dans l'ignorance de "
"75";"+";"-";"-";"-";"+";"n'";"être pas";"sans";"<E>";"ignorer";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§sans ignorer "
"76";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"illusion";"de";"-";"+";"+";"-";"+";"+";"-";"-";"-";"§être§dans l'illusion de "
"77";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"impatience";"de";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§dans l'impatience de "
"78";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"impossibilité";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§dans l'impossibilité de "
