"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"40";"+";"+";"+";"-";"<E>";" être";"autre";"chose";"-";"-";"-";"§est§autre chose "
"41";"-";"+";"+";"+";"n'";" être";"grand";"chose";"-";"-";"-";"§n'est§grand chose "
"42";"+";"-";"-";"+";"n'";" être pas";"grand";"chose";"-";"-";"-";"§n'est pas§grand chose "
"43";"+";"+";"+";"-";"<E>";" être";"peu de";"chose";"-";"-";"-";"§est§peu de chose "
"44";"+";"-";"-";"-";"<E>";" être";"tout";"chose";"-";"-";"-";"§est§tout chose "
"45";"+";"-";"-";"-";"<E>";" être";"un pas grand";"chose";"-";"-";"-";"§est§un pas grand chose "
"46";"-";"+";"+";"-";"<E>";" être";"une bonne";"chose";"-";"-";"-";"§est§une bonne chose "
"47";"-";"+";"-";"+";"n'";" être pas";"une";"chose à dire";"-";"-";"-";"§n'est pas§une chose à dire "
"48";"-";"+";"-";"+";"n'";" être pas";"une";"chose à faire";"-";"-";"-";"§n'est pas§une chose à fait "
"49";"-";"+";"+";"-";"<E>";" être";"<E>";"chose Adj";"-";"-";"+";"§est§chose Adj "
"50";"-";"+";"+";"-";"<E>";" être";"<E>";"chose faite";"-";"-";"+";"§est§chose faite "
"51";"-";"+";"+";"-";"<E>";" être";"la pire ";"chose qui puisse arriver";"-";"-";"-";"§est§la pire chose qui puisse arriver "
"52";"-";"+";"+";"-";"<E>";" être";"la moindre des";"choses";"-";"-";"-";"§est§la moindre des choses "
"53";"-";"+";"+";"-";"<E>";" être";"tout un";"cirque";"-";"-";"-";"§est§tout un cirque "
"54";"+";"-";"-";"-";"<E>";" être";"<E>";"cloche";"-";"-";"-";"§est§cloche "
"55";"-";"+";"+";"-";"<E>";" être";"<E>";"cloche";"-";"-";"-";"§est§cloche "
"56";"+";"-";"-";"-";"<E>";" être";"<E>";"collet monté";"-";"-";"-";"§est§collet monté "
"57";"-";"+";"+";"-";"<E>";" être";"un";"comble";"-";"-";"-";"§est§un comble "
"58";"-";"+";"+";"-";"<E>";" être";"une";"cotte mal taillée";"-";"-";"-";"§est§une cotte mal taillée "
"59";"-";"+";"-";"-";"<E>";" être";"<E>";"couleur du temps";"-";"-";"-";"§est§couleur du temps "
"60";"+";"+";"+";"-";"<E>";" être";"<E>";"couleur locale";"-";"-";"-";"§est§couleur locale "
"61";"-";"+";"-";"-";"<E>";" être";"un";"coup à tenter";"-";"-";"-";"§est§un coup à tenter "
